Layer,Type,Shape,Min,Max,Mean,Std,L1
bn3b6_branch2a,b,"(128,)",0.263605833054,5.53723716736,2.06458091736,0.982448756695,5.53723716736
bn3b6_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b6_branch2a,w,"(128,)",0.503398835659,1.59580004215,0.862979829311,0.212666451931,1.59580004215
scale3b6_branch2a,b,"(128,)",-1.86484456062,0.49995046854,-0.615851521492,0.466230511665,1.86484456062
res3b6_branch2b,w,"(128, 128, 3, 3)",-0.159497529268,0.186042174697,-0.000452776846942,0.0165241472423,0.186042174697
bn3b6_branch2b,w,"(128,)",-0.517881453037,0.526122689247,-0.0868139415979,0.192408084869,0.526122689247
bn3b6_branch2b,b,"(128,)",0.0122803831473,0.378099322319,0.132953882217,0.0484634563327,0.378099322319
bn3b6_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b6_branch2b,w,"(128,)",0.558625876904,1.40342855453,0.960886418819,0.218155294657,1.40342855453
scale3b6_branch2b,b,"(128,)",-1.05894613266,0.814858794212,-0.378176271915,0.439172327518,1.05894613266
res3b6_branch2c,w,"(512, 128, 1, 1)",-0.186063766479,0.239479064941,-0.00175449508242,0.0189714040607,0.239479064941
bn3b6_branch2c,w,"(512,)",-0.464847266674,0.269243985415,-0.0467288941145,0.102581977844,0.464847266674
bn3b6_branch2c,b,"(512,)",0.00010102718079,0.140800192952,0.0213016718626,0.0176657792181,0.140800192952
bn3b6_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b6_branch2c,w,"(512,)",-0.0121458731592,2.69984674454,0.614563822746,0.445817708969,2.69984674454
scale3b6_branch2c,b,"(512,)",-1.1962852478,1.04683244228,-0.150578022003,0.28597253561,1.1962852478
res3b7_branch2a,w,"(128, 512, 1, 1)",-0.204256802797,0.339105039835,-0.000728080747649,0.0268260892481,0.339105039835
bn3b7_branch2a,w,"(128,)",-4.94609642029,3.42199325562,-0.809088945389,1.43186330795,4.94609642029
bn3b7_branch2a,b,"(128,)",3.04546410916e-05,6.77804899216,2.66038489342,1.19660556316,6.77804899216
bn3b7_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b7_branch2a,w,"(128,)",0.461496084929,1.57495486736,1.03356063366,0.21423754096,1.57495486736
scale3b7_branch2a,b,"(128,)",-1.90947699547,0.64324170351,-0.787344396114,0.538992285728,1.90947699547
res3b7_branch2b,w,"(128, 128, 3, 3)",-0.219017744064,0.174044981599,-0.000298688217299,0.0200544837862,0.219017744064
bn3b7_branch2b,w,"(128,)",-1.16428220272,0.767623841763,-0.126411288977,0.268402606249,1.16428220272
bn3b7_branch2b,b,"(128,)",0.129450947046,0.981081426144,0.344146847725,0.164047822356,0.981081426144
bn3b7_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b7_branch2b,w,"(128,)",0.585577845573,2.0957095623,1.04443788528,0.237932950258,2.0957095623
scale3b7_branch2b,b,"(128,)",-1.31537973881,1.42728602886,-0.181157797575,0.637025356293,1.42728602886
res3b7_branch2c,w,"(512, 128, 1, 1)",-0.169602051377,0.286720722914,-0.00080588721903,0.0217048972845,0.286720722914
bn3b7_branch2c,w,"(512,)",-0.524905204773,0.498693048954,-0.0246128700674,0.161020189524,0.524905204773
bn3b7_branch2c,b,"(512,)",9.93572102743e-05,0.138808369637,0.0323594585061,0.0273457355797,0.138808369637
bn3b7_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b7_branch2c,w,"(512,)",-0.00820750743151,2.48719620705,0.769971847534,0.596820116043,2.48719620705
scale3b7_branch2c,b,"(512,)",-0.933603823185,0.606545090675,-0.0350583679974,0.214956313372,0.933603823185
res4a_branch1,w,"(1024, 512, 1, 1)",-0.477068811655,0.452830523252,-0.000219528781599,0.0178454518318,0.477068811655
bn4a_branch1,w,"(1024,)",-4.95993614197,8.11787986755,-0.203976020217,1.19547522068,8.11787986755
bn4a_branch1,b,"(1024,)",0.143640577793,19.7825241089,1.71514046192,2.00913262367,19.7825241089
bn4a_branch1,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale4a_branch1,w,"(1024,)",0.148130327463,4.68713617325,2.05850219727,0.838422834873,4.68713617325
scale4a_branch1,b,"(1024,)",-0.447412103415,1.89525866508,0.149299845099,0.338201999664,1.89525866508
res4a_branch2a,w,"(256, 512, 1, 1)",-0.456979215145,0.395446568727,-0.000337420060532,0.0153807140887,0.456979215145
bn4a_branch2a,w,"(256,)",-4.32647275925,2.97931313515,-0.334102511406,1.28284358978,4.32647275925
bn4a_branch2a,b,"(256,)",0.053337842226,9.86297702789,1.31285309792,1.02654469013,9.86297702789
bn4a_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale4a_branch2a,w,"(256,)",0.473356872797,1.31126475334,0.889324784279,0.176635071635,1.31126475334
scale4a_branch2a,b,"(256,)",-2.09805393219,2.61647486687,-0.230634108186,0.479271054268,2.61647486687
res4a_branch2b,w,"(256, 256, 3, 3)",-0.154119551182,0.248018503189,-0.000583329820074,0.00959707982838,0.248018503189
bn4a_branch2b,w,"(256,)",-4.68025064468,1.41335260868,-0.404630362988,0.802891790867,4.68025064468
bn4a_branch2b,b,"(256,)",0.000353220733814,2.64188122749,0.513160467148,0.40355604887,2.64188122749
bn4a_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale4a_branch2b,w,"(256,)",0.354220569134,1.30399680138,0.773570537567,0.184994637966,1.30399680138
scale4a_branch2b,b,"(256,)",-1.79068315029,0.63876748085,-0.572327017784,0.49558198452,1.79068315029
res4a_branch2c,w,"(1024, 256, 1, 1)",-0.396549105644,0.219375953078,-0.000257212406723,0.013260865584,0.396549105644
bn4a_branch2c,w,"(1024,)",-0.291756540537,0.298564940691,-0.0181272104383,0.0714875012636,0.298564940691
bn4a_branch2c,b,"(1024,)",6.36450567981e-05,0.287844210863,0.0128807779402,0.0167465135455,0.287844210863
bn4a_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale4a_branch2c,w,"(1024,)",-0.00138925225474,3.71028661728,0.834888577461,0.485641926527,3.71028661728
scale4a_branch2c,b,"(1024,)",-0.447412103415,1.89525866508,0.149299845099,0.338201999664,1.89525866508
res4b1_branch2a,w,"(256, 1024, 1, 1)",-0.104667514563,0.142226099968,-0.00016285914171,0.00720035284758,0.142226099968
bn4b1_branch2a,w,"(256,)",-4.17399358749,2.24326276779,-0.300227493048,1.07788717747,4.17399358749
bn4b1_branch2a,b,"(256,)",0.521493792534,5.42563343048,1.56125736237,0.779447257519,5.42563343048
bn4b1_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale4b1_branch2a,w,"(256,)",0.456927537918,1.45755004883,0.818172454834,0.188517063856,1.45755004883
scale4b1_branch2a,b,"(256,)",-1.79609835148,1.38801670074,-0.311580836773,0.46241620183,1.79609835148
res4b1_branch2b,w,"(256, 256, 3, 3)",-0.0840518698096,0.0922067835927,-0.000362795428373,0.00606855750084,0.0922067835927
bn4b1_branch2b,w,"(256,)",-1.8878569603,0.699184298515,-0.279645651579,0.431078642607,1.8878569603
bn4b1_branch2b,b,"(256,)",0.0261553674936,1.19350326061,0.253708332777,0.17910464108,1.19350326061
bn4b1_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
